requirementtext,group_id
"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.", 1
"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.", 1
"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.", 2
"The user should be able to navigate between attractions from a map of Copenhagen.", 3
"The user should be able to view all experiences near them on a map of Copenhagen.", 3
"The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.", 4
"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.", 3
"The user should be able to edit the itinerary, add their own experiences, and delete or move recommended experiences.", 4
"The user should be able to access all services without a user profile.", 2
"The user should be able to add their own experience, with location, perceived price range, pictures and text.", 5
"The user should be able to create and save multiple itineraries to their user profile.", 4
"The user should be able to access a overview of all their itineraries.", 4
"When the user presses an experience, the app should display star ratings of the experience from other users, walking distance in km/miles, and time to walk to the experience from the present location.", 1
"The user should be able to access a ’Weather’ tab with information about the current weather conditions in Copenhagen.", 6
"The user should be able to access general information about Copenhagen, such as districts, historical facts about the district and what the district is known for among locals.", 7
"The user should be able to see reviews from other users about the different experiences, with text, pictures and star ratings of the experiences.", 8
"The user should be able to post their reviews of the experiences in the app, with text, pictures and a star rating.", 8
"The user should be able to share an itinerary by using a generated link.", 4
"The user should be able to access information, such as delays and timetables for public transportation.", 9
"The user should be shown suggested routes to an experience with public transportation.", 9
