Requirement Index,Requirement,Token,Head,Dependency Label,POS,Head POS
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",The,user,det,DET,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",user,be,nsubj,NOUN,AUX
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",should,be,aux,AUX,AUX
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",be,be,ROOT,AUX,AUX
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",able,be,acomp,ADJ,AUX
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",to,see,aux,PART,VERB
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",see,able,xcomp,VERB,ADJ
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",the,price,det,DET,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",price,see,dobj,NOUN,VERB
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",",",price,punct,PUNCT,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",location,price,conj,NOUN,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",",",location,punct,PUNCT,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",accessibility,location,conj,NOUN,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",",",accessibility,punct,PUNCT,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",child,friendliness,compound,NOUN,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",friendliness,accessibility,conj,NOUN,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",",",friendliness,punct,PUNCT,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",adult,friendliness,compound,NOUN,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",friendliness,friendliness,conj,NOUN,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",",",price,punct,PUNCT,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",among,see,prep,ADP,VERB
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",others,among,pobj,NOUN,ADP
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",",",see,punct,PUNCT,VERB
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",regarding,see,prep,VERB,VERB
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",each,experience,det,DET,NOUN
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",experience,regarding,pobj,NOUN,VERB
0,"The user should be able to see the price, location, accessibility, child friendliness, adult friendliness, among others, regarding each experience.",.,be,punct,PUNCT,AUX
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",When,presses,advmod,SCONJ,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",the,user,det,DET,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",user,presses,nsubj,NOUN,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",presses,display,advcl,VERB,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",an,Experience,det,DET,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",’,Experience,punct,PUNCT,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",Experience,presses,dobj,NOUN,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",’,Experience,punct,PUNCT,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",",",display,punct,PUNCT,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",the,app,det,DET,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",app,display,nsubj,NOUN,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",should,display,aux,AUX,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",display,display,ROOT,VERB,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",pictures,display,dobj,NOUN,VERB
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",and,pictures,cc,CCONJ,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",information,pictures,conj,NOUN,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",about,pictures,prep,ADP,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",the,Experience,det,DET,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",’,Experience,punct,PUNCT,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",Experience,about,pobj,NOUN,ADP
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",’,Experience,punct,PUNCT,NOUN
1,"When the user presses an ’Experience’, the app should display pictures and information about the ’Experience’.",.,display,punct,PUNCT,VERB
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",The,user,det,DET,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",user,be,nsubj,NOUN,AUX
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",should,be,aux,AUX,AUX
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",be,be,ROOT,AUX,AUX
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",able,be,acomp,ADJ,AUX
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",to,register,aux,PART,VERB
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",register,able,xcomp,VERB,ADJ
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",for,register,prep,ADP,VERB
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",a,profile,det,DET,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",user,profile,compound,NOUN,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",-,profile,punct,PUNCT,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",profile,for,pobj,NOUN,ADP
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",with,profile,prep,ADP,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",the,methods,det,DET,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",following,methods,amod,ADJ,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",methods,with,pobj,NOUN,ADP
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",:,be,punct,PUNCT,AUX
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",Facebook,user,appos,PROPN,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",",",Facebook,punct,PUNCT,PROPN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",Google,Facebook,appos,PROPN,PROPN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",or,Google,cc,CCONJ,PROPN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",email,Google,conj,NOUN,PROPN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",and,email,cc,CCONJ,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",password,email,conj,NOUN,NOUN
2,"The user should be able to register for a user-profile with the following methods: Facebook, Google or email and password.",.,be,punct,PUNCT,AUX
3,The user should be able to navigate between attractions from a map of Copenhagen.,The,user,det,DET,NOUN
3,The user should be able to navigate between attractions from a map of Copenhagen.,user,be,nsubj,NOUN,AUX
3,The user should be able to navigate between attractions from a map of Copenhagen.,should,be,aux,AUX,AUX
3,The user should be able to navigate between attractions from a map of Copenhagen.,be,be,ROOT,AUX,AUX
3,The user should be able to navigate between attractions from a map of Copenhagen.,able,be,acomp,ADJ,AUX
3,The user should be able to navigate between attractions from a map of Copenhagen.,to,navigate,aux,PART,VERB
3,The user should be able to navigate between attractions from a map of Copenhagen.,navigate,able,xcomp,VERB,ADJ
3,The user should be able to navigate between attractions from a map of Copenhagen.,between,navigate,prep,ADP,VERB
3,The user should be able to navigate between attractions from a map of Copenhagen.,attractions,between,pobj,NOUN,ADP
3,The user should be able to navigate between attractions from a map of Copenhagen.,from,attractions,prep,ADP,NOUN
3,The user should be able to navigate between attractions from a map of Copenhagen.,a,map,det,DET,NOUN
3,The user should be able to navigate between attractions from a map of Copenhagen.,map,from,pobj,NOUN,ADP
3,The user should be able to navigate between attractions from a map of Copenhagen.,of,map,prep,ADP,NOUN
3,The user should be able to navigate between attractions from a map of Copenhagen.,Copenhagen,of,pobj,PROPN,ADP
3,The user should be able to navigate between attractions from a map of Copenhagen.,.,be,punct,PUNCT,AUX
4,The user should be able to view all experiences near them on a map of Copenhagen.,The,user,det,DET,NOUN
4,The user should be able to view all experiences near them on a map of Copenhagen.,user,be,nsubj,NOUN,AUX
4,The user should be able to view all experiences near them on a map of Copenhagen.,should,be,aux,AUX,AUX
4,The user should be able to view all experiences near them on a map of Copenhagen.,be,be,ROOT,AUX,AUX
4,The user should be able to view all experiences near them on a map of Copenhagen.,able,be,acomp,ADJ,AUX
4,The user should be able to view all experiences near them on a map of Copenhagen.,to,view,aux,PART,VERB
4,The user should be able to view all experiences near them on a map of Copenhagen.,view,able,xcomp,VERB,ADJ
4,The user should be able to view all experiences near them on a map of Copenhagen.,all,experiences,det,DET,NOUN
4,The user should be able to view all experiences near them on a map of Copenhagen.,experiences,view,dobj,NOUN,VERB
4,The user should be able to view all experiences near them on a map of Copenhagen.,near,experiences,prep,ADP,NOUN
4,The user should be able to view all experiences near them on a map of Copenhagen.,them,near,pobj,PRON,ADP
4,The user should be able to view all experiences near them on a map of Copenhagen.,on,view,prep,ADP,VERB
4,The user should be able to view all experiences near them on a map of Copenhagen.,a,map,det,DET,NOUN
4,The user should be able to view all experiences near them on a map of Copenhagen.,map,on,pobj,NOUN,ADP
4,The user should be able to view all experiences near them on a map of Copenhagen.,of,map,prep,ADP,NOUN
4,The user should be able to view all experiences near them on a map of Copenhagen.,Copenhagen,of,pobj,PROPN,ADP
4,The user should be able to view all experiences near them on a map of Copenhagen.,.,be,punct,PUNCT,AUX
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,The,user,det,DET,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,user,be,nsubj,NOUN,AUX
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,should,be,aux,AUX,AUX
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,be,be,ROOT,AUX,AUX
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,able,be,acomp,ADJ,AUX
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,to,save,aux,PART,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,save,able,xcomp,VERB,ADJ
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,an,itinerary,det,DET,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,itinerary,save,dobj,NOUN,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,generated,itinerary,acl,VERB,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,by,generated,prep,ADP,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,creating,by,pcomp,VERB,ADP
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,a,profile,det,DET,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,user,profile,compound,NOUN,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,-,profile,punct,PUNCT,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,profile,creating,dobj,NOUN,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,and,creating,cc,CCONJ,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,adding,creating,conj,VERB,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,it,adding,dobj,PRON,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,to,adding,prep,ADP,VERB
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,their,profile,poss,PRON,NOUN
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,profile,to,pobj,NOUN,ADP
5,The user should be able to save an itinerary generated by creating a user-profile and adding it to their profile.,.,be,punct,PUNCT,AUX
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",The,user,det,DET,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",user,be,nsubj,NOUN,AUX
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",should,be,aux,AUX,AUX
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",be,be,ROOT,AUX,AUX
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",able,be,acomp,ADJ,AUX
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",to,filter,aux,PART,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",filter,able,xcomp,VERB,ADJ
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",which,experiences,det,DET,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",experiences,filter,ccomp,VERB,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",they,see,nsubj,PRON,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",can,see,aux,AUX,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",see,experiences,ccomp,VERB,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",on,see,prep,ADP,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",the,map,det,DET,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",map,on,pobj,NOUN,ADP
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",of,map,prep,ADP,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",Copenhagen,of,pobj,PROPN,ADP
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",",",Copenhagen,punct,PUNCT,PROPN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",based,map,acl,VERB,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",on,based,prep,ADP,VERB
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",the,labels,det,DET,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",following,labels,amod,VERB,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",labels,on,pobj,NOUN,ADP
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",:,be,punct,PUNCT,AUX
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",CHILD,FRIENDLY,compound,NOUN,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",FRIENDLY,user,appos,NOUN,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",",",FRIENDLY,punct,PUNCT,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",ROMANTIC,FRIENDLY,appos,PROPN,NOUN
6,"The user should be able to filter which experiences they can see on the map of Copenhagen, based on the following labels: CHILD FRIENDLY, ROMANTIC, POPULAR, UNIQUE, LOCAL, ACTIVE, CULTURE, NATURE, HISTORIC.",",",ROMANTIC,punct,PUNCT,PROPN
