content,polarity
Great idea in principle but it's so hard to work out what's going on that that so far it's useless :-(,0
"Don't like it much Event, Task, Favorites at the bottom confusion. Entering data is tedious too selected hide for completed task it may have deleted them. Need simple customization features and I HATE the computer time task settings which it uses. pros easy to read overview. Thx. mbf",0
Not easy to use also not effective,0
"Worthless, uninstalled after 2min what is the point of adding my schedule and goals without having a reminder!! This is the basic goal of the app you can't make it premium just make the full app with subscriptions instead of scamming people to have more downloads",0
I love this app..but after updating i cant even open the app in my phone and cant getting any new unlock tree... Please help me to use this aap,0
"Reminders only pop up when I remember to open the app, which defeats the whole purpose. If the reminders popped up automatically at the set times, I'd give the app 5 stars.",0
"Too difficult to figure out how to set up, can't add times to daily routines. This app is a waste of space.",0
You want me to pay $5 for the full version so I can set a task to repeat? My phone's planner does that for free.,0
"Paid for the premium app last year, now there is no history of my email address ever being registered despite me having the confirmation emails from them when I first paid for it. Lots of complaints on here. Get one of the open source habit trackers & back it up yourself to cloud storage rather than spending money with devs who change the app name slightly & try to charge again. Seen this happen so many times.",0
"Worst app I have ever used, it doesn't do anything.",0
"Whuup, sorry, need to pay for unlimited daily task. Nope",0
"I made several repeating tasks that are supposed to be repeated weekly by the day of the week. They seem to just multiply and now the same 4 tasks will show up 3 times each on a single day. I can't edit the original repeating ones, I can only delete them individually on the day they show up several times. This is VERY annoying. This app was a waste of my money. I paid for the ability to make repeating tasks. I'm very disappointed.",0
"Looks really complicated, and it's entirely prescription based. I felt like I needed to take a class to learn it. There are a lot of apps like this. I'll try another one.",0
"I deleted a list but I still get alarms for one of the tasks in that list, even after restarting my phone.",0
"For an app that's meant to help me organise my time more effectively, I didn't expect it would take the longest time to boot up compared to all the utility apps on my device... Really nice UI though...",0
I am not able to set the time . It is automatically taking the remainder timing,0
"Correct idea worng execution. The watch face UI cannont be operated like manually moving clock hands. The time zone stick moves at an interval of 1hr, I wanted to set it at any choosen time and add reminder from there. Big flop was it did not read my calender event and yes I did give necessary permission. phone - one plus 7 OS build- Oxygen OS 9.5.5 GM57AA Further Action- Uninstalling Outlook- Would like to try it post improvement",0
Would not load,0
not user friendly.,0
"This app was fine for years and then became extremely laggy. It also started duplicating weekly tasks to the point that I would have to delete five or six versions of a task in order to return it to one weekly. Often the delete or complete options have to be used multiple times on the same task before it actually disappears. I have basically stopped using it except as a calendar, but it's so slow it's not even efficient to be used for that.",0
"I am liking the app so far except for the fact that you can only add tasks to ""My Day"" for the present day. I LOVE the idea of a daily list, but it would be immensely better if you could plan for future days. It's super inconvenient to have to add all your tasks the morning of...",0
", every time I put a task in it removed the number in the name and put it in my inbox.... Why???",0
Ugly all white ui themes make almost no difference. No option to keep completed tasks in list. Sync is unreliable and does not even notify the user when unsuccessful. Service is down right now per their Twitter but app shows no errors; sync simply doesn't work. Web ui is extremely bloated and runs an unacceptable amount of client side scripts. Still better than the new Google tasks though.,0
Too hard to use,0
"I love all the recent changes you have made - especially the ability to undo things in the history. Could you please add an option to manually reorder tasks? I would like to put mine in the order that I do them throughout the day, and none of your sorting allows that. Thanks! Update: it's been 22 months since you said you'd make drag and drop sorting an option. I see monthly updates but not the one feature that would make this app user friendly. Don't promise what you won't deliver.",0
"The free version was great until now, but since they added advertisements to it (e. g. forced to watch an ad after creating an appointment) I cannot recommend it anymore, it is absolutely annoying, the Google calendar is the better alternative now.",0
"I was a customer of Any.Do for a while and on March 2020 i clearly asked them NOT to renew my subscription as i found a different company to provide me task manger services - Todoist. More than that - i even consult with Any.Do technical support team how to transfer my database to Todoist and over the phone, i ALSO remind them to cancel it. I received the cancellation notice and I DID NOT ask them to renew/continue any of Any.Do services. More than that - i also have the Invoice from the company i moved my services, Todoist, for the same period of time that Any.Do charged me for. After i tried to contact Any.Do they refused to refund me. Therefore, i let you and everybody to know that I WILL NOT USE ANY OF ANY.DO services anymore and recommend everyone that read this post DO NOT USE ANY.DO SERVICES or you taking a big risk that something like that will happen to you as well.",0
After I purchased the pro version. All my previous tress were deleted. Contacted support. They told me to log out and for the past couple of days I have been unable to log back in. Unable to view friends list or plant trees with friends😑 the support team is also not helping me quite well.,0
Nice polished but useless. There is no filter for tags. Web and app synch problems happens missing tasks. Not any scoring system. May good for amateurs but not for project managers. However I like the calendar view.,0
App seems ok. But they want you to pay a monthly fee just to use a basic calendar. It let's you view the current week. Anything else and you have to pay. So many free ones out there to choose from. Uninstalling.,0
I was disappointed coz it did not make any sound notifications once the tree has been planted. After following all instructions and enabling all permissions for the past few days. Still no luck.,0
wew,0
"I used this app for years - until the recent update where you now have to select ""deep mode"" for it to work properly. However, ""deep mode"" means giving permission for the app to read messages and contact details. I can't understand how this invasion of privacy is necessary and I have unfortunately deleted the app.",0
Have given all permissions yet unable to turn on deep focus mode. Plus the link that's supposed to explain permissions leads to a 404.,0
"The app itself is great. I used it quite regularly a few years back but when I tried to use it again it seems that the 'new' owners don't acknowledge their 'lifetime' subscription. Sure hope my emails get more results besides ... /ignore kthnxbye Sent an email ... they said they opened a ticket and then ... crickets. Nice .. thanks, downgraded to",0
My app is not opening .... I have uninstall and then install many times but still facing the same problem,0
Bought the premium version long ago but now it has ad on it.,0
when adding a task it transferring you to Google calendar then after adding the event it doesn't appear on the widget?,0
"This WAS a great list app. Then something happened and I stopped getting notifications. I checked the app and it said I needed to allow permissions due to Android 6.0. I've been on Android 7.0+ since I started using the app, but regardless, I checked and permissions were set and allowed the app to provide notifications. Still didnt work. I've tried resetting the phone, resetting permissions... nothing works. Now I'll try uninstalling it and using something else.",0
"As smart and skilled microsoft employees are this is a great app bu needs a lot of tweaks to be top notch. You camt change the name of a list you create, the completed or i should say deleted items in a list is stupid. If i delete items they should be gone not kept in a completed list that just grows and no delete all button and or not even a choice in settings to either delete items forever without a completed list or to have a completed list that grows and grows single item delete is dumb",0
i cant set my times for events bc theres no am/pm option. it keeps changing my time not allowing me to put the right thing..annoying,0
"DO NOT INSTALL THIS APP. I used to love it, but in the most recent update the advertisements have made it absolutely unusable. I am switching to google calendar and never looking back",0
Worst app,0
Can't sync calendar unless you pay which makes the unpaid version useless to me. I'm not going to go through my entire calendar and add my events by hand to a second calendar. Pointless.,0
Only notifications pop out no sound at all,0
"Try to make the app more automated, i have been following every steps but still it shows no notifications or alarm on time",0
After the update whenever I try o buy a new kind of tree the app closes I liked the app before but now i have losed my interest in it😒😒😒😒😒 Please fix this bug..,0
ANNOYED paid for this years ago PAID full version and used it and recommended it! Now I am asked to pay YEARLY to remove ads! what joke! I paid for full add free version already and there is nothing new to justify the yearly purchase...,0
I miss wonder list. To Do sucks. It is impossible to get anything entered without wanting to throwmy phone across the room. Dear Microsoft screw yourself.,0
After the mandatory change from Wunderlost the app worked wothout issue until today. The app signed out of the MS account for some reason and it just kept crashing endlessly and prevented the use of my phone. Why? I also had to sign in multiple times to be able to get it right. Why change it fron Wunderlist to do a worse job? Why break something that was working?,0
It's too confusing.,0
"Does not integrate month calendar view and 24hrs view within the circular widget graphics: it only shows 24hrs (12hrs in free version). Very restrictive: the widget shows full info for one day, and no info ahead, unless you select a different day. For the days ahead you need to leave the widget, and work in a different environment. Why complicate your life? Find a calendar app you like, stay with it, come back to Sectograph when (and if) the widget fully implements time and task management.",0
I have paid for premium however it will not let me use its features. I get a message asking me to upgrade to premium everytime I try to add a new habit. if I follow the instructions it just tells me I already own the product. Thanks for stealing my money.,0
Having issues with syncing with Google calendar. I added a task on TickTick and it's been over 12 hours and it still has not sync up to my Google calendar. I've tried refreshing but nothing showed up. I've looked at the help forum and many people have the same issue for some time now. I just purchased the pro and it's not worth it if it doesn't sync.,0
The majority of things are blocked off by subscription.,0
Pain. Ya have to create an account to access,0
"This is just a re-skinned Samsung calendar, don't waste your time",0
"What mess, can't undo a task if pop up is disappeared, this app is too overrated! Lean from ticktick...........!",0
"Super buggy on Android, have to close and open constantly for anything to work.",0
NO INSTRUCTIONS I can't even get started because there are no instructions. I put in list title groceries and that's it when I try to make a list it asks for sub titles won't let me even start a list just sends ya in circles DELETE DELETE,0
Y doesn't the reminder work!!! I m trying m trying changed all my settings according to this and it doesn't work at all it doesn't remind me i tried and set a particular time and i was waiting but it didn't i m fed up really this made me more anger than ever🤧🥵😶😶😶😶😑😑😑,0
I m just very lazy enough to use this app plus this app is not based on concept of habit building.Let's see how habbit is built u do task u get reward but here for sake of reward u only get Dots connected in pattern that's not motivating instead u can give some offers as reward.,0
Acceptable,0
"Daily emails, can't even see my important emails because of spammers like you",0
Can't add more than 5 task to calendar without monthly fee.,0
"I'm sure the premium might be fine, but all of the most important features are locked behind a paywall. I wanted a simple app that would let me set repeated reminders on my phone, but this surely isnt it. At first, it told me I just needed to sign up to do that, so I did, but then it said I needed premium! Very misleading, I immediately uninstalled because that is just untrustworthy behaviour to me.",0
"Syncing with Alexa takes over 10-15 minutes which renders it unusable. Any.do, before you post your generic response: yes, I added the skill to my Alexa and, yes, I logged into my accounts. It syncs... kind of... so I can verify the two accounts are talking... just not well at all. When I use Wunderlist or Google Tasks or just Alexa by itself, the changes are instantly viewable across all platforms. The only reason I downloaded with app was to give me more control over my Alexa lists (which for some insane reason you cannot reorder). The extremely lag in syncing Any.do with Alexa renders this app useless. The UI looks really nice and user friendly, so I bumped it up to 2 stars.",0
Stupid app,0
"Do you love apps that design their experience to be poor unless you pay ongoing ""subscriptions"" for static feature sets that make the experience barely tolerable? Do you prefer having money siphoned from your account over and over again instead of paying a single small fee once for an app, like we used to see? Then this is the app for you! Add one more debit to your bank account they hope you'll forget about (and statistically speaking - you will) for a stagnant app you'll forget about in a week",0
"The app itself is great. I used it quite regularly a few years back but when I tried to use it again it seems that the 'new' owners don't acknowledge their 'lifetime' subscription. Sure hope my emails get more results besides ... /ignore kthnxbye Sent an email ... they said they opened a ticket and then ... crickets. Nice .. thanks, downgraded to",0
google calander doesnt synchronise.,0
"Failed at the first hurdle, couldnt customise my character to even get started. Next button worked thats about it. galaxy S8",0
Buggy as all hell. The advertisement is right. It gamifies tasks... But that's it. No tracking history of your habits. Inaccurate as all hell. Worst of all is you can't delete your account. They'll forever keep your data. I'm sure that's illegal in parts of this country and around the world. Definitely don't use your real email to sign up to test it out.,0
"After getting the premium subscription I found that, Windows 10 app doesn't have any app lock mechanism. So anyone using the machine has access to Todoist! I'd request you to fix these kind of basic things before bringing more features.",0
"Can't see new topics of discussion. Also can't add discussion topic even though I have excellent internet connection, Wi Fi or Data. Please fix. I have no connection issues with any of my other apps.",0
please add night mode! I study at night and the bright green screen hurts my eyes. Realluy consider this as an option tha many of us who use this app prefer a less bright screen that is better for the eyes.WE WANT NIGHT MODE!!,0
"Looks polished app but time after time new issues come up. Raising these issues with the developer rarely gets timely response or interest in fixing it (I'm a paid user). Today, tasks lost their subtasks on one device, while the 2nd device is OK (for now) || to devs: Task (and their subs) used to sync across devices via Google Drive.. Seems like you eliminated this feature by switching to Google Tasks in your recent update. Totally useless app now for me (at least)",0
They are always changing Something after updates. And it isn't always functional like used to be,0
"Crippled version without even a way to purchase outright. EDIT: I'll be clearer. Many apps features are disabled. But there is no way to just buy the app. The only option is some ongoing payment subscription which makes no sense as this app does not provide any ongoing or backend service, it's just an app! and a simple one at that. It's like going to buy a water bottle and going to check out they take your credit card info and charge you the same price every year that you use the bottle. Bottom line, it's just a scummy business practice.",0
It's kinda bad sorry,0
"This is good, but i can't use in my phone for more than a day, Its not opening in my samsung note10 lite. Please suggest a way to rectify this issue.",0
"Monthly payments for a todo app? Not gonna happen, thank you.",0
"I installed this app in April and then it started crashing a lot. So I re-installed it and all my data had been lost. After that I installed it again on 9th June to give it another try and after 3 days the same thing happened again. I loved the app a lot so I bought the pro version but it still keeps crashing. All my settings, allow list, custom phrases, reminders and tags are always deleted after re-installing it THRICE . I use Samsung Galaxy S8. Fix it soon or refund me my money. Pathetic app.",0
"App is so much good , best app , i want to give 5 star but not giving so that u can notice me . After its update ,my app is not opening il, if i reinstall it , my coins will lost and trees also . Please help me what to do",0
It sucks. My wife and I loved Wunderlist. We were synced with no problems. We have tried a million times to sync this bullshxt with no success.,0
Too much fluff. Difficult to see the actual progress.,0
"Loved TickTick - great interface and the widget was perfect. Unfortunately I had to move on to Todoist. TickTick doesn't have Alexa capabilities and that's a deal breaker. For a while, IFTTT and Gmail provided a good workaround, but recent changes to Gmail rendered that functionality inoperable. TickTick, get on board with Alexa and I'll come back.",0
"Needs a built in timer and some stats to make it the best productivity to-do out there.. for now it's just a generic to-do with folders. Hoping it gets an update with those features soon as I do love the design and other Microsoft products, for now I'm forced to use another to-do manager. :(",0
"Can't even log in. Seems to stop working or freeze up every time. Just downloaded the app for the first time, can't make a new account or log in. Waste of time, will be looking for other apps that actually let me get past the log in screen.",0
So bad bad bad,0
Premium version only,0
"I got the premium version The main drawbacks of this app are: 1- I cannot customize the categories 2- If I do a task earlier, it still alarming on scheduled alarming time 3- removing done tasks is not available Just moved to the bottom",0
I have been a subscriber of the pro version for years when this new version came out I tried it and there were problems. I tried it again and it seems to work well. I tried running with one alarm and now it dosen't stop when I acknowledge it I'm going back to the old version. I have removed pro 2 if the problem pesiststs I will have to find a new calendar. Very frustrated.,0
Why is it impossible to see text of event (I PURCHASED pro version and sent You email) I just resent an email ... with screenshot,0
"Seems like it could be fun, I just had a hard time getting into it.",0
Not a fan. I paid for the upgrade and it isn't working out for me. Maybe others will like it but I don't.,0
"I like the app a lot, bit I can not make the notifications sound to work. I have enabled all notifications in setting - both the phone and the app but the only notification I'm getting is in the notification bar? Without the notification sound the app is quite useless.",0
Slow. Not user friendly. If you type fast words repeat.,0
Used it until simple backup was premiumized. Restore wont work between different versions unless you modi-hack the file. Author would not tell you that you can do it though if you ask his help ! . Restore dont recognize my backup file at all so all my lists are basically inaccessible now. Will never install this again and I suggest anyone who values his data not to !,0
The app doesn't notify me when the task is ready to do. Please fix it or tell me what to do. Only when runs the app tasks work.,0
"I was about to jump wholeheartedly into using this app (its integration with Google Calendar being exactly what I'm looking for) but now I see that it has no search feature on Android. Worse still, Android Search has been on their roadmap since 2015 and it's still not done. 2015!?! In the meantime other apps can build smart lists it out of tags, status and free text. Seriously behind the curve, guys.",0
"Find another app. Wunderlist was much better. When you sort alphabetically then prioritize an item, it doesn't move to the top of the list. Wunderlist would allow sorting and when it was starred, move to the top.",0
Pretty cheap when basic features are premium and cost $4 - $5.5 monthly. Immediately uninstalled. I'll stick to Any.do for now. Premium is almost half-price.,0
I bought the full version of gTasks Pro from this company and now it's unavailable. Think twice before buying from them.,0
I keep getting a message saying the app can't connect to the server and every time I tap on a different colour of skin or shirt it stays the same.,0
When you try to write a task and you want to set the reminder at the same time you have to make a reminder for each one and its wasting my time. If I could I would rate this app 0 stars,0
"Need to access my tasks on my phone grouped same as Task Pane in Outlook Task Pane in desktop. Functioned acceptably prior to an update May 7th. Planned smart list previously included overdue items in current day's list, thus automatically rolling over incomplete tasks. Planned also included all tasks GROUPED by date. Microsoft responded 5/11 with intent to add combined view soon and if the All Smartlist was acceptable workaround. NO, it is no better than the Task or Planned Smartlist.",0
"Reduced to 1 star after second repetitive dev response. (edit after dev response) I get having ads, but full screen ads that you have to wait to skip are very annoying. I am fine with ads that appear at the bottom. Great app until the full screen ads appeared",0
"Used to be a great app, but I've moved phones, but the sync did not work and all tracking data has been lost. Even after having paid $18 for premium. Very much a shame.",0
The application looks nice and simple. But the synchronization between mobile and desktop version is awful. A lot of pictures from tasks which were added via desktop version are not accessible on mobile and vise versa,0
The app was amazing but lately it's been crashing a lot and i had to uninstall and reinstall it and yet it keeps in crashing i lost my data and it's frustrating,0
"Too much configuration, not very intuitive, I'm looking for something simple that only counts something for the day, not to set goals, reminders, notes, and all that overload of information that keep jumping from screen to screen, not looking for enterprise app just for personal use.",0
Can't match Ticktick with your arrogant attitude.,0
New update causing app to freeze. Pls correct it immediately.,0
I'm better with myself nowadays. Cheers,0
Hf,0
"Reminders, the most basic of features, is ""premium"" in this app.",0
"I have been using the fully unlocked version of this application for over a year. This is a fantastic app! However, it lacks the capability to sync with outlook calendars. For example, if I have subscribed to my work outlook calendar in Google calendar, the events will not be synchronized with Sectograph. This would be fine if this was the documented behavior of this application. However, subscribed-outlook calendars are selectable from the calendar selection menu...",0
Couldn't figure out how to set reminder times won't do anything other then am,0
I have only 86 coins. But I couldn't start the count down as it has no such option. It has only and option as ' unlock it' what's that . Please fix it. It took my whole time inorder to search about that. But failed. How can I unlock with 86 coins. They don't have any alternative ways to go inside the app. It helped me in the morning but now it's making me angry,0
Was working ok until today...Now keeps crashing the moment you try to open d app...,0
It automatically keeps stopping and because of this i lost 15 days data. I don't have data access all the time please fix it .,0
"I'm probably too old for this. Couldn't find the energy/patience to work out how it works (and why was it preset with meditation?), I guess it would seem obvious to someone who uses technology more. Bought a huge paper planner called Trigg instead. Less portable! But it won't crash, malfunction or lost if I break my phone...",0
This app deleted my whole google calender,0
"Cancel means stop the action...not throw away all the notes I just made...sorry but this was suppse to save time not waste ideas and planning...poor comms from app on a normalized UI function. First go and really turned me off, could be lots more awesome, but things like this and not being able to recover the info quickly then...not acceptable when doing business tasks nowadays.",0
"This app is malware/scam. I don't even have the app and it's charged me 38 dollars for a yearly subscription, do not buy, I'm having to now look into suing the people behind this just based on the principle of not letting them get away with this. I hope the 38 dollars was worth hundreds of dollars in court fees.",0
I really like the app/online portal but having everything in one does me no good w/o push notifications & I wish this had a widget so I didn't have to open the app to look at everything.i paid for this & I don't feel like I got my investment back as I maybe use the app once in a blue moon. It looks great but it just doesn't work to what I feel is it's full protein. I hope you add this & don't make me pay for it.,0
"I'm changing the rating into two stars because the sync feature which previously work fine has no longer work. Looking at the last update I feel like the developer had abandoned this apps, which is quite sad considering this usef to be the best apps on building habit.",0
